,chunk_id,doc_id,title,topic,url,source_type,source_name,section,chunk_order,last_edited,retrieved,chunk_text,word_count,char_count,size_bucket
354,uni_010_021,uni_010,F-1 STEM OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/f-1-stem-opt-extension,uni,columbia,Submit your STEM OPT I-765 application online through your USCIS account. > “What is your reason for applying?”,21,,4/19/2026,- Choose the option “Renewal of my permission to accept employment”,11,67,tiny (<20)
356,uni_010_023,uni_010,F-1 STEM OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/f-1-stem-opt-extension,uni,columbia,Submit your STEM OPT I-765 application online through your USCIS account. > “Status at last arrival”,23,,4/19/2026,"- Scroll down to “F1 - F1 - Student, Academic Or Language Program.”",13,67,tiny (<20)
357,uni_010_024,uni_010,F-1 STEM OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/f-1-stem-opt-extension,uni,columbia,Submit your STEM OPT I-765 application online through your USCIS account. > “What is your A-Number?”,24,,4/19/2026,"- This number is listed on your most recent EAD card, under “USCIS #.”",14,70,tiny (<20)
359,uni_010_026,uni_010,F-1 STEM OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/f-1-stem-opt-extension,uni,columbia,"Submit your STEM OPT I-765 application online through your USCIS account. > ""Passport Photos""",26,,4/19/2026,- Submit two passport-style recent photos (within 30 days) that have not been previously used on other documents.,18,113,tiny (<20)
361,uni_010_028,uni_010,F-1 STEM OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/f-1-stem-opt-extension,uni,columbia,Submit your STEM OPT I-765 application online through your USCIS account. > “Evidence: College Degree”,28,,4/19/2026,- A diploma AND an official transcript which show your degree and the date it was awarded.,17,90,tiny (<20)
370,uni_010_037,uni_010,F-1 STEM OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/f-1-stem-opt-extension,uni,columbia,After You Submit Your STEM OPT Application > 6What happens after a biometrics appointment?,37,,4/19/2026,Check your [USCIS Account](https://my.uscis.gov/) for any updates after your visit.,10,83,tiny (<20)
375,uni_011_001,uni_011,OPT Reporting | ISSO,opt reporting,https://isso.columbia.edu/content/opt-reporting,uni,columbia,BEFORE YOU REPORT,1,,4/19/2026,"Now that your [OPT](https://isso.columbia.edu/content/f-1-opt-optional-practical-training-after-your-degree-program) has been approved, keep the following things in mind.",13,170,tiny (<20)
379,uni_011_005,uni_011,OPT Reporting | ISSO,opt reporting,https://isso.columbia.edu/content/opt-reporting,uni,columbia,Reporting Requirements During Post-Completion OPT,5,,4/19/2026,You must report the following OPT employment updates and other changes no later than 10 days after the change.,19,110,tiny (<20)
382,uni_011_008,uni_011,OPT Reporting | ISSO,opt reporting,https://isso.columbia.edu/content/opt-reporting,uni,columbia,Reporting Requirements During Post-Completion OPT > 3My employer's name or address has changed,8,,4/19/2026,Use this report if you have already reported employment however your employer’s name or address has changed.,17,108,tiny (<20)
383,uni_011_009,uni_011,OPT Reporting | ISSO,opt reporting,https://isso.columbia.edu/content/opt-reporting,uni,columbia,Reporting Requirements During Post-Completion OPT > 4I have an additional employer,9,,4/19/2026,Use this report if you have already reported your first employment and are now adding or starting new employment.,19,113,tiny (<20)
387,uni_011_013,uni_011,OPT Reporting | ISSO,opt reporting,https://isso.columbia.edu/content/opt-reporting,uni,columbia,How to Report During Post-Completion OPT,13,,4/19/2026,Log in to Compass to submit your updates and changes while on Post-Completion OPT.,14,82,tiny (<20)
393,uni_012_001,uni_012,STEM OPT Reporting | ISSO,stem opt reporting,https://isso.columbia.edu/content/stem-opt-reporting,uni,columbia,On this Page,1,,4/19/2026,"Now that your [STEM OPT Extension](https://isso.columbia.edu/content/f-1-stem-opt-extension) has been approved, keep the following things in mind:",15,146,tiny (<20)
408,uni_012_016,uni_012,STEM OPT Reporting | ISSO,stem opt reporting,https://isso.columbia.edu/content/stem-opt-reporting,uni,columbia,How to Report During STEM OPT,16,,4/19/2026,Log in to Compass to submit your updates and changes while on STEM OPT.,14,71,tiny (<20)
423,uni_013_010,uni_013,Cap-Gap OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/cap-gap-opt-extension,uni,columbia,Cap-Gap OPT Extension > Travel During Cap-Gap Extension Period > Do not leave the US while the H-1B change of status is pending,10,,4/19/2026,It will nullify the change of status and make you ineligible for the cap gap extension.,16,87,tiny (<20)
429,uni_013_016,uni_013,Cap-Gap OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/cap-gap-opt-extension,uni,columbia,Cap-Gap OPT Extension > FAQs (Frequently Asked Questions) > May I apply for a STEM OPT Extension during my Cap-Gap OPT Extension?,16,,4/19/2026,"Yes, but your STEM OPT Extension application must be received by USCIS before your cap-gap extension period expires.",18,116,tiny (<20)
430,uni_013_017,uni_013,Cap-Gap OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/cap-gap-opt-extension,uni,columbia,Cap-Gap OPT Extension > FAQs (Frequently Asked Questions) > Does my dependent’s status also get extended with my Cap-Gap extension?,17,,4/19/2026,Yes. Your F-2 dependent’s status is also extended.,8,50,tiny (<20)
431,uni_013_018,uni_013,Cap-Gap OPT Extension | ISSO,opt extension,https://isso.columbia.edu/content/cap-gap-opt-extension,uni,columbia,Cap-Gap OPT Extension > Want to learn more?,18,,4/19/2026,See what USCIS says about the [Cap-Gap Extension.](https://www.uscis.gov/working-united-states/temporary-workers/h-1b-specialty-occupations-and-fashion-models/extension-post-completion-optional-practical-training-opt-and-f-1-status-eligible-students-under-h-1b-cap-gap-regulations),8,281,tiny (<20)
557,uni_035_001,uni_035,Economic Hardship | Office of Global Initiatives,economic hardship,https://www.njit.edu/global/economic-hardship,uni,njit,Economic Hardship,1,,4/19/2026,Information about the Economic Hardship Employment application process for F1 Students.,11,87,tiny (<20)
